"plot","elev","rich","logprod"
"1","4000",3,5.48587519013724
"13","1000",10,5.31014711830161
"14","1000",8,5.72103282806273
"15","1000",9,5.29496174273467
"16","500",9,6.36907872706037
"17","4000",3,4.61383255906674
"18","3500",6,4.07022262010169
"19","4000",3,4.52688426758955
"2","2000",14,6.59449553572482
"20","3500",6,5.54036117736273
"21","3500",5,4.40488830381714
"3","2000",22,6.86312395483654
"4","2500",20,8.04774940542902
"5","2000",17,7.43282694430537
"6","2500",19,7.66666679156641
"7","2500",16,8.21306461358552
"8","500",13,6.33882373380911
"9","500",12,6.45162299622202
